2025-09-14T05:50:17.082227,005930,completed
2025-09-14T05:50:17.756543,000660,completed
2025-09-14T05:50:18.469869,373220,completed
2025-09-14T05:50:19.202953,207940,completed
2025-09-14T05:50:19.898272,012450,completed
2025-09-14T05:50:20.561464,005380,completed
2025-09-14T05:50:21.225493,105560,completed
2025-09-14T05:50:21.924126,329180,completed
2025-09-14T05:50:22.627036,000270,completed
2025-09-14T05:50:23.288187,068270,completed
2025-09-14T05:50:23.984824,034020,completed
2025-09-14T05:50:24.639587,035420,completed
2025-09-14T05:50:25.340806,042660,completed
2025-09-14T05:50:25.999981,055550,completed
2025-09-14T05:50:26.698516,032830,completed
2025-09-14T05:50:27.399203,028260,completed
2025-09-14T05:50:28.089493,009540,completed
2025-09-14T05:50:28.741310,035720,completed
2025-09-14T05:50:29.431679,012330,completed
2025-09-14T05:50:30.142604,402340,completed
2025-09-14T05:50:30.839497,086790,completed
2025-09-14T05:50:31.547096,011200,completed
2025-09-14T05:50:32.248944,015760,completed
2025-09-14T05:50:32.945757,064350,completed
2025-09-14T05:50:33.644541,005490,completed
2025-09-14T05:50:34.351364,138040,completed
2025-09-14T05:50:35.049019,000810,completed
2025-09-14T05:50:35.747562,267260,completed
2025-09-14T05:50:36.442689,010130,completed
2025-09-14T05:50:37.140604,051910,completed
2025-09-14T05:50:37.827066,010140,completed
2025-09-14T05:50:38.519021,316140,completed
2025-09-14T05:50:39.222451,096770,completed
2025-09-14T05:50:39.920000,033780,completed
2025-09-14T05:50:40.605526,006400,completed
2025-09-14T05:50:41.333951,034730,completed
2025-09-14T05:50:42.049088,024110,completed
2025-09-14T05:50:42.759954,259960,completed
2025-09-14T05:50:43.468038,086280,completed
2025-09-14T05:50:44.174783,009150,completed
2025-09-14T05:50:44.896198,298040,completed
2025-09-14T05:50:45.596852,030200,completed
2025-09-14T05:50:46.338420,018260,completed
2025-09-14T05:50:47.064531,066570,completed
2025-09-14T05:50:47.774870,006800,completed
2025-09-14T05:50:48.480686,323410,completed
2025-09-14T05:50:49.213895,003230,completed
2025-09-14T05:50:49.930929,352820,completed
2025-09-14T05:50:50.646538,003550,completed
2025-09-14T05:50:51.355006,017670,completed
2025-09-14T05:50:52.070120,003670,completed
2025-09-14T05:50:52.788005,267250,completed
2025-09-14T05:50:53.495421,079550,completed
2025-09-14T05:50:54.207117,272210,completed
2025-09-14T05:50:54.884010,005830,completed
